id,title,picture,author,year,language,description,pages,availability,issued,ISBN
1,"The Complete Sherlock Holmes",https://fivebooks.com/app/uploads/books/BC_0141040289.jpg,"Sir Arthur Conan Doyle",2009,en,"Sherlock Holmes is a fictional detective created by British author Sir Arthur Conan Doyle. Referring to himself as a ""consulting detective"" in the stories, Holmes is known for his proficiency with observation, deduction, forensic science, and logical reasoning that borders on the fantastic, which he employs when investigating cases for a wide variety of clients, including Scotland Yard.

Sherlock Holmes is not only the most famous character in crime fiction, but arguably the most famous character in all fiction. In sixty adventures that pit his extraordinary wits and courage against foreign spies, blackmailers, cultists, petty thieves, murderers, swindlers, policemen (both stupid and clever), and his arch-nemesis Moriarty, Sherlock Holmes, together with his faithful sidekick Doctor John H. Watson, proves himself to be not only the quintessential detective but also the most engaging and entertaining company any reader could ask for.",1136,2,1,9780141040288
2,"Harry Potter and the Chamber of Secrets",https://upload.wikimedia.org/wikipedia/en/5/5c/Harry_Potter_and_the_Chamber_of_Secrets.jpg,"J. K. Rowling",1998,en,"The Dursleys were so mean that hideous that summer that all Harry Potter wanted was to get back to the Hogwarts School for Witchcraft and Wizardry. But just as he's packing his bags, Harry receives a warning from a strange, impish creature named Dobby who says that if Harry Potter returns to Hogwarts, disaster will strike.

And strike it does. For in Harry's second year at Hogwarts, fresh torments and horrors arise, including an outrageously stuck-up new professor, Gilderoy Lockheart, a spirit named Moaning Myrtle who haunts the girls' bathroom, and the unwanted attentions of Ron Weasley's younger sister, Ginny.",2,0,0,9780747538486
3,"Harry Potter and the Prisoner of Azkaban",https://upload.wikimedia.org/wikipedia/en/a/a0/Harry_Potter_and_the_Prisoner_of_Azkaban.jpg,"J. K. Rowling",1999,en,"This special edition of Harry Potter and the Prisoner of Azkaban has a gorgeous new cover illustration by Kazu Kibuishi. Inside is the full text of the original novel, with decorations by Mary GrandPré.

For twelve long years, the dread fortress of Azkaban held an infamous prisoner named Sirius Black. Convicted of killing thirteen people with a single curse, he was said to be the heir apparent to the Dark Lord, Voldemort.",2,1,0,9781408855676
4,"Harry Potter and the Goblet of Fire",https://upload.wikimedia.org/wikipedia/en/b/b6/Harry_Potter_and_the_Goblet_of_Fire_cover.png,"J. K. Rowling",2000,en,"The paperback edition of the legendary, record-breaking, best-selling fourth Harry Potter novel.
Harry Potter is midway through his training as a wizard and his coming of age. Harry wants to get away from the pernicious Dursleys and go to the International Quidditch Cup. He wants to find out about the mysterious event that's supposed to take place at Hogwarts this year, an event involving two other rival schools of magic, and a competition that hasn't happened for a hundred years. He wants to be a normal, fourteen-year-old wizard. But unfortunately for Harry Potter, he's not normal - even by wizarding standards. And in his case, different can be deadly.",4,2,0,9780747560821
5,"Harry Potter and the Order of the Phoenix",https://upload.wikimedia.org/wikipedia/en/thumb/7/70/Harry_Potter_and_the_Order_of_the_Phoenix.jpg/220px-Harry_Potter_and_the_Order_of_the_Phoenix.jpg,"J. K. Rowling",2003,en,"The next volume in the thrilling, moving, bestselling Harry Potter series will reach readers June 21, 2003 -- and it's been worth the wait!
We could tell you, but then we'd have to Obliviate your memory",2,0,0,9780747551003
6,"Harry Potter and the Half-Blood Prince",https://upload.wikimedia.org/wikipedia/en/b/b5/Harry_Potter_and_the_Half-Blood_Prince_cover.png,"J. K. Rowling",2005,en,"As the Harry Potter sequence draws to a close, Harry's most dangerous adventure yet is just beginning . . . and it starts July 16, 2005.
We could tell you, but then we'd have to Obliviate your memory.",1,0,0,9780747581086
7,"Harry Potter and the Deathly Hallows",https://upload.wikimedia.org/wikipedia/en/a/a9/Harry_Potter_and_the_Deathly_Hallows.jpg,"J. K. Rowling",2007,en,"Readers beware. The brilliant, breathtaking conclusion to J.K. Rowling's spellbinding series is not for the faint of heart--such revelations, battles, and betrayals await in Harry Potter and the Deathly Hallows that no fan will make it to the end unscathed. Luckily, Rowling has prepped loyal readers for the end of her series by doling out increasingly dark and dangerous tales of magic and mystery, shot through with lessons about honor and contempt, love and loss, and right and wrong. Fear not, you will find no spoilers in our review--to tell the plot would ruin the journey, and Harry Potter and the Deathly Hallows is an odyssey the likes of which Rowling's fans have not yet seen, and are not likely to forget. But we would be remiss if we did not offer one small suggestion before you embark on your final adventure with Harry--bring plenty of tissues",2,1,0,9780545010221
8,"Deep Learning",https://images-na.ssl-images-amazon.com/images/I/614Fu%2B5JXHL._SX342_SY445_QL70_ML2_.jpg,"Ian Goodfellow, Aaron Courvill",2015,en,"Deep learning is a form of machine learning that enables computers to learn from experience and understand the world in terms of a hierarchy of concepts. Because the computer gathers knowledge from experience, there is no need for a human computer operator to formally specify all the knowledge that the computer needs. The hierarchy of concepts allows the computer to learn complicated concepts by building them out of simpler ones; a graph of these hierarchies would be many layers deep. This book introduces a broad range of topics in deep learning.",1,0,0,9780262035613
9,"Operations Management",https://www.mheducation.com/cover-images/Jpeg_400-high/126023889X.jpeg,"William J. Stevenson",2004,en,"Stevenson's Operations Management features integrated, up-to-date coverage of current topics and industry trends, while preserving the core concepts that have made the text the market leader in this course for over a decade. Stevenson's careful explanations and approachable format support students in understanding the important operations management concepts as well as applying tools and methods with an emphasis on problem solving. Through detailed examples and solved problems, short cases and readings on current issues facing businesses, and auto-gradable end of chapter problems and application-oriented assignments available in Connect Operations Management, students learn by doing, and the Thirteenth Edition continues to offer more support for 'doing Operations' than any other.",2,1,0,9781260238891
11,"A Day Like This",https://m.media-amazon.com/images/I/51uYWhRO1KL.jpg,"Kelley McNeil",2021,en,"Annie Beyers has everything—a beautiful house, a loving husband, and an adorable daughter. It’s a day like any other when she takes Hannah to the pediatrician…until she wakes hours later from a car accident. When she asks for her daughter, confused doctors tell Annie that Hannah never existed. In fact, nothing after waking from the crash is the same as Annie remembers. Five happy years of her life apparently never happened.",2,0,0,9781713621058
12,"The Judge's List",https://www.books.lk/wp-content/uploads/2021/10/Judges-list.jpg,"John Grisham",2021,en,"In The Whistler, Lacy Stoltz investigated a corrupt judge who was taking millions in bribes from a crime syndicate. She put the criminals away, but only after being attacked and nearly killed. Three years later, and approaching forty, she is tired of her work for the Florida Board on Judicial Conduct and ready for a change.

Then she meets a mysterious woman who is so frightened she uses a number of aliases. Jeri Crosby’s father was murdered twenty years earlier in a case that remains unsolved and that has grown stone cold. But Jeri has a suspect whom she has become obsessed with and has stalked for two decades. Along the way, she has discovered other victims.",1,0,0,0593168534
13,"How to Catch a Turkey",https://images-na.ssl-images-amazon.com/images/I/81XAu0N96KL.jpg,"Adam Wallace",2018,en,"A turkey is running loose in a school right before a Thanksgiving play. Can YOU help catch it so the show can go on? Follow along as students turn their school upside down trying to catch the turkey, ending with a twist that ensures no turkeys are harmed (or eaten!). This hilariously zany children's picture book combines STEAM concepts and traps with a silly story and fun illustrations, perfect for starting a new holiday family tradition or giving as a Thanksgiving gift for kids ages 4 and up!",3,1,0,9781492664369
14,"Out of My Mind",https://images-na.ssl-images-amazon.com/images/I/61PLvXIiNIL.jpg,"Sharon M. Draper",2010,en,"Eleven-year-old Melody is not like most people. She can’t walk. She can’t talk. She can’t write. All because she has cerebral palsy. But she also has a photographic memory; she can remember every detail of everything she has ever experienced. She’s the smartest kid in her whole school, but NO ONE knows it. Most people—her teachers, her doctors, her classmates—dismiss her as mentally challenged because she can’t tell them otherwise. But Melody refuses to be defined by her disability. And she’s determined to let everyone know it…somehow.",2,1,0,9781416971702
15,"Killers of the Flower Moon: The Osage Murders and the Birth of the FBI",https://images-na.ssl-images-amazon.com/images/I/814hn1Oe44L.jpg,"David Grann",2017,en,"In the 1920s, the richest people per capita in the world were members of the Osage Indian nation in Oklahoma. After oil was discovered beneath their land, they rode in chauffeured automobiles, built mansions, and sent their children to study in Europe.
      Then, one by one, the Osage began to be killed off. The family of an Osage woman, Mollie Burkhart, became a prime target. Her relatives were shot and poisoned. And it was just the beginning, as more and more members of the tribe began to die under mysterious circumstances.",1,0,0,9780307742483
